Countries,BirthRate(Per1000),LifeExpectancy
(1953)Albania,39.28,55.438
(1953)Algeria,51.,43.345
(1953)Angola,54.016,30.201
(1953)Argentina,25.423,62.814
(1953)Armenia,33.7,63.009
(1953)Aruba,44.281,60.98
(1953)Australia,23.01,69.7
(1953)Austria,14.875,67.29
(1953)Azerbaijan,40.6,58.168
(1953)Bahamas,38.6,60.109
(1953)Bahrain,45.1,42.823
(1953)Bangladesh,47.669,45.509
(1953)Barbados,32.8,58.173
(1953)Belarus,22.887,66.125
(1953)Belgium,16.516,68.37
(1953)Belize,49.56,57.426
(1953)Benin,39.491,32.938
(1953)Bhutan,46.67,36.099
(1953)Bolivia,46.957,40.564
(1953)Bosnia and Herzegovina,37.09,54.379
(1953)Botswana,46.98,47.862
(1953)Brazil,44.025,51.128
(1953)Brunei,48.94,58.077
(1953)Bulgaria,21.06,64.14
(1953)Burkina Faso,47.202,32.045
(1953)Burundi,48.44,39.177
(1953)Cambodia,45.35,39.63
(1953)Cameroon,43.436,38.7
(1953)Canada,27.76,69.13
(1953)Cape Verde,50.9,47.023
(1953)Central African Rep.,41.724,33.645
(1953)Chad,46.403,37.7
(1953)Channel Islands,14.62,69.426
(1953)Chile,36.094,54.909
(1953)China,43.768,44.55952
(1953)Colombia,47.113,51.242
(1953)Comoros,46.76,40.872
(1953)Congo  Dem. Rep.,47.209,39.244
(1953)Congo  Rep.,42.241,43.547
(1953)Costa Rica,44.622,57.576
(1953)Cote d'Ivoire,51.152,38.935
(1953)Croatia,22.61,61.661
(1953)Cuba,31.602,59.429
(1953)Cyprus,27.4,66.959
(1953)Czech Rep.,19.386,67.56
(1953)Denmark,17.9,71.15
(1953)Djibouti,50.047,35.082
(1953)Dominican Rep.,52.793,46.349
(1953)Ecuador,45.55,48.614
(1953)Egypt,47.734,43.102
(1953)El Salvador,46.827,45.509
(1953)Equatorial Guinea,40.882,34.633
(1953)Eritrea,48.36,36.14
(1953)Estonia,17.25,65.571
(1953)Ethiopia,49.383,34.252
(1953)Fiji,46.3,52.484
(1953)Finland,22.82,66.61
(1953)France,18.857,67.34
(1953)French Guiana,36.37,53.583
(1953)French Polynesia,43.29,49.793
(1953)Gabon,30.539,37.287
(1953)Gambia,44.304,31.808
(1953)Georgia,24.4,60.802
(1953)Germany,15.95,67.687
(1953)Ghana,44.597,42.135
(1953)Greece,19.44,66.09
(1953)Grenada,39.829,62.678
(1953)Guadeloupe,39.,54.068
(1953)Guam,31.8,57.228
(1953)Guatemala,50.276,42.683
(1953)Guinea,48.431,31.611
(1953)Guinea-Bissau,55.157,32.636
(1953)Guyana,43.,49.484
(1953)Haiti,45.679,37.87
(1953)Honduras,52.108,41.835
(1953)Hong Kong  China,37.7,63.429
(1953)Hungary,21.06,63.87
(1953)Iceland,27.9,72.31
(1953)India,43.393,38.193
(1953)Indonesia,42.732,39.281
(1953)Iran,46.965,38.638
(1953)Iraq,52.958,40.423
(1953)Ireland,21.39,67.96
(1953)Israel,32.5,65.716
(1953)Italy,18.237,66.58
(1953)Jamaica,34.8,59.001
(1953)Japan,23.751,63.37
(1953)Jordan,46.7,48.473
(1953)Kazakhstan,33.2,55.247
(1953)Kenya,51.235,42.457
(1953)Korea  Dem. Rep.,23.8,50.534
(1953)Korea  Rep.,35.759,48.222
(1953)Kuwait,45.2,55.996
(1953)Kyrgyzstan,35.6,53.109
(1953)Laos,46.135,42.473
(1953)Latvia,16.38,66.421
(1953)Lebanon,41.,56.368
(1953)Lesotho,42.142,42.439
(1953)Liberia,47.891,34.816
(1953)Libya,48.,43.158
(1953)Lithuania,21.59,65.111
(1953)Luxembourg,14.72,66.092
(1953)Macao  China,37.7,61.332
(1953)Macedonia  FYR,37.35,55.45
(1953)Madagascar,49.005,36.92
(1953)Malawi,52.3,36.324
(1953)Malaysia,45.194,55.677
(1953)Maldives,45.18,34.349
(1953)Mali,45.106,29.808
(1953)Malta,29.32,65.88
(1953)Martinique,39.5,56.15
(1953)Mauritania,48.665,39.354
(1953)Mauritius,47.311,50.704
(1953)Mayotte,41.3,47.519
(1953)Mexico,47.991,51.209
(1953)Micronesia  Fed. Sts.,47.923,54.777
(1953)Moldova,29.45,58.644
(1953)Mongolia,43.67,43.558
(1953)Montenegro,16.085,59.351
(1953)Morocco,50.4,43.158
(1953)Mozambique,49.344,31.541
(1953)Myanmar,47.367,36.742
(1953)Namibia,43.374,42.126
(1953)Nepal,43.926,36.313
(1953)Netherlands,22.1,71.71
(1953)Netherlands Antilles,41.6,60.997
(1953)New Caledonia,35.11,51.209
(1953)New Zealand,25.74,70.24
(1953)Nicaragua,54.898,42.314
(1953)Niger,52.957,37.626
(1953)Nigeria,48.032,35.789
(1953)Norway,18.72,73.15
(1953)Oman,51.44,38.334
(1953)Pakistan,37.246,41.588
(1953)Panama,39.893,56.016
(1953)Papua New Guinea,43.1,34.929
(1953)Paraguay,44.244,62.6
(1953)Peru,47.076,43.985
(1953)Philippines,48.217,55.602
(1953)Poland,30.14,61.918
(1953)Portugal,24.09,61.12
(1953)Puerto Rico,36.16,64.471
(1953)Qatar,46.3,54.989
(1953)Reunion,39.429,48.182
(1953)Romania,24.94,61.337
(1953)Russia,26.455,64.693
(1953)Rwanda,51.79,40.146
(1953)Saint Lucia,37.361,54.825
(1953)Saint Vincent and the Grenadines,49.459,50.964
(1953)Samoa,50.87,46.185
(1953)Sao Tome and Principe,41.5,46.663
(1953)Saudi Arabia,49.,40.781
(1953)Senegal,44.648,37.318
(1953)Serbia,26.97,58.405
(1953)Sierra Leone,45.368,29.863
(1953)Singapore,44.4,60.71
(1953)Slovak Republic,27.41,65.66
(1953)Slovenia,21.98,65.866
(1953)Solomon Islands,42.63,45.639
(1953)Somalia,53.377,33.177
(1953)South Africa,43.256,45.399
(1953)Spain,20.32,65.81
(1953)Sri Lanka,37.453,53.672
(1953)Sudan,46.398,40.117
(1953)Suriname,43.8,56.313
(1953)Swaziland,48.077,41.674
(1953)Sweden,15.49,71.9
(1953)Switzerland,17.34,69.53
(1953)Syria,48.435,47.979
(1953)Tajikistan,44.7,53.353
(1953)Tanzania,49.023,41.474
(1953)Thailand,43.647,51.056
(1953)Timor-Leste,47.43,30.212
(1953)Togo,46.922,35.473
(1953)Tonga,45.137,58.831
(1953)Trinidad and Tobago,38.2,58.615
(1953)Tunisia,46.4,44.846
(1953)Turkey,50.791,47.625
(1953)Turkmenistan,43.2,51.553
(1953)Uganda,51.267,40.238
(1953)Ukraine,25.38,66.385
(1953)United Arab Emirates,47.8,45.504
(1953)United Kingdom,15.917,69.87
(1953)United States,24.28,68.79
(1953)Uruguay,21.227,66.109
(1953)Uzbekistan,42.433,56.014
(1953)Vanuatu,50.39,42.241
(1953)Venezuela,46.406,54.562
(1953)Vietnam,42.651,40.704
(1953)Virgin Islands (U.S.),37.097,59.743
(1953)West Bank and Gaza,46.7,46.657
(1953)Western Sahara,49.012,35.704
(1953)Yemen  Rep.,54.776,35.837
(1953)Zambia,46.822,42.28
(1953)Zimbabwe,48.332,48.753
